,category,title,instructor,price,numoflectures,rating,reviews
10,프로그래밍 언어 · Python101,"[할인] Python 101: 매일 30분, 40일 동안! LV. 1 파이썬 기초 프로젝트",Python101,"월 15,800원(5개월)","12개 챕터, 59개 세부강의",4.9,"['선생님이 알려주신 지식들을 바탕으로 저 스스로 타이머, 알람, 스톱워치 등을 만들 수 있었습니다. 만들면서도 재밌었고 앞으로도 잘 됐으면 좋겠습니다.', '코딩 초보자도 쉽게 이해할 수 있도록 친절하게 설명해주셔서 좋습니다.\n또 매 강의 마지막에 연습문제를 풀어주셔서 배운내용 정리하는데 많은 도움이 됩니다.\n그리고 진도에 맞춰 예제풀이 하다보면 저절로 복습이 되고 지루하지 않아 학습능률이 매우 높습니다.\n적절한 시기에 미션 팝업이 동기부여도 되구요.\n\n특정한 목적이 있어서가 아니라 취미로 코딩학습하다보면 중간에 그만두는 경우가 많은데,\n이번 강의는 내용도 충실하고, 하루 30분씩 매일 조금씩 따라가는 재미가 있어서 \n쭉 이어 수강하고 있습니다.\n\nlv2, lv3 강의도 기대됩니다.', '제대로 파이썬 입문을 배우려면 학교에서 배우는 것보다 이 수업을 듣는 것을 추천해요~ 매우 친절하게 설명해 주셔서 이해하기 쉬고 재미있게 파이썬을 배울 수 있어요. ', '비전공자를  위한 친절한 수업.\n너무 쉽게설명해주셔서 덕분에 포기하지않고 완강향해 걸어갑니다!! 파이썬 중급,고급강의 기다리겠습니다. 감사합니다 ']"
11,프로그래밍 언어 · 비현코,"[할인] 코알못을 위한 부업, 투자에 활용하는 실용주의 파이썬 코딩",비현코,"월 23,800원(5개월)","7개 챕터, 52개 세부강의",0.0,[]
12, ,[할인] 비전공자를 위한 나만의 안드로이드 앱 만들기,코딩티처 지니,"월 48,250원(12개월)",강의수미정,0.0,[]
13,데이터 분석 · 데이터 라떼,"[할인] 저자직강, 입문자를 위한 데이터 분석 준전문가(ADsP) 자격증 따기",데이터 라떼,"월 21,800원(5개월)","19개 챕터, 67개 세부강의",0.0,[]
14,Web · 프론트엔드 · Scalper,바닐라 자바스크립트로 배우는 모던 프론트엔드 실전!,Scalper,"월 15,800원(5개월)","9개 챕터, 37개 세부강의",0.0,[]
15, ,"[0원 클래스] 30분 요약 강좌 시즌1 : HTML, CSS, JS, Python",제주코딩베이스캠프,0,강의수미정,0.0,[]
16,AI · 머신러닝 · 알파돌,[할인] 서울대 출신 AI 연구직의 세상에서 제일 쉬운 머신러닝 101,알파돌,"월 23,740원(5개월)","8개 챕터, 45개 세부강의",4.8,"['  dx를 목적으로 많은 분들이 ai기술을 배우더라구요. 그래서 저 또한 교육을 듣고있긴한데 일과 병행하면서 집중할수가없어 이번 클래스를 신청하게되었습니다.\n코딩을 3년넘게 해서 코딩적인부분은 어렵지않았지만 맨날 설계,해석만해서 그런지 수학에 약간 어려움이 있었습니다. 하지만 쉽게 알려주셔서 도움이 많이되었고 앞으로 혼자 라이브러리를 사용하면서 진행하는 연구에 접목해서 다양한 연구를 할 수 있을것 같습니다.\n감사합니당.\n주말 내내 쉬지않고 스터디카페에서 공부하면 주말 완강 가능합니다.', '머신러닝에 대한 기초가 없는 사람이 수강하기에 좋은 강의입니다.', '현직 8년차 자바개발자예요! 더이상 머신러닝을 안하면 도태되는 흐름까지 와서 듣기 시작했어요. 전공도 컴공이고 길다면 긴 시간을 실무에 있었지만 머신러닝이라는 것 자체가 너무 어렵고 멀게만 느껴져서 시도조차 못했는데, 그동안 왜 망설이고 안했는지, 진작 시작할걸 생각드네요! 너무 쉽게 풀어주시고, 의미없는 예제가 아닌 활용 가능한 예제로 설명해주시니까 더 좋아요~ 차분하고 잔잔한 톤으로 설명하셔서 집중도 잘 돼요! 제가 개발자적인 사고에 갇혀서  자꾸 알고있던 구조로 연관지어 생각하게 되는데, 오히려 처음 배우거나 고인물이 아니면 흡수가 더 빠를거 같아요:-) 굳이 돈내고 노트 다운받지않아도 수업만 잘 들으면 정리도 잘 돼요', '분야가 분야이니 만큼 쉽게 알아지지는 않지만, 공부하면서 기초 쌓기 좋았습니다.\n']"
17, ,"[할인] 파이썬 첫걸음부터 풀패키지, 잔재미코딩의 자동화 프로그램 만들기!",잔재미코딩,"월 27,740원(5개월)",강의수미정,4.6,"['이 강의는 초보자가 듣기엔 어렵습니다\n내용이 이해하기 어렵고 웹페이지에서 크롤링을 하는 방법을 가르쳐주기 보다 강사가 만든 템플릿을 상황에 맞게 적용하는 정도인데 그 템플릿도 css코드나 별도의 독학이 있어야합니다 \n일반적으로 강의에서 다루지 않는 페이지의 자료를 가져오긴 어려울거에요 그런 부분을 질문하면 직접 검색해보라는 답을 들으실겁니다 \n101에서 수업 여러개 들었지만 다른 강의에 비해 불친절하다고 느껴지는게 그런 이유같습니다 미션도 그냥 댓글 한줄 남기면 그만이라 어려워요 다음에 할게요라는 글을 남겨도 미션이 수행됩니다 \n딱히 도움이 안되서 코딩을 하고싶은 초보자라면 다른 강의를 들으시는게 좋을것같아요', '파이썬을 이용해서 할 수 있는 다양한 것들을 친절하게 알려주십니다. 하지만 그 것들에 대해 깊이 있게 다루는 게 아니라 얕게 여러 분야를 다루다 보니 강사 님이 알려준 딱 그것만 할 수 있습니다. 강의가 끝난 후 조금만 응용하려고 해도 벽에 부딪혀서 구글을 뒤지다가 짜증나서 후기를 쓰러 온 모습이 완강을 한 저의 현재입니다. 초보를 대상으로 한 프로그램 강의들의 고질적인 문제점이기도 하지만 이 강의는 유독 응용하기 어려운 부분도 많고(다루는 프로그램이 쥬피터 노트북인 것도 그렇고) 크롤링의 특성 상 막히는 부분들도 많아서 더 힘든 것 같습니다. 다른 분들에게는 도움이 될지도 모르겠지만 저에게는 크게 도움이 되지 못한 강의였습니다.', '초보자도 쉽게 이해할 수 있게 구성되어 있어 기본적인 컴퓨터 지식만 있으면 접근할 수 있는 것이 장점인 것 같습니다. 무엇보다 질문에 대한 강사님의 피드백이 빨라 큰 도움이 되었습니다. 나중에 심화과정을 만드신다면 꼭 들어보고 싶네요!', '아직 완강은 아니지만 처음으로 배우는 프로그래밍 언어라 차근차근 진행하고 있어요.\n장점은 기초만 가지고 계속하는게 아닌 바로 활용이 가능한 프로그램밍 언어를 만들어 줘서 생활에 바로 적용이 가능하여 배우는데 재미있습니다.']"
18, ,[컬리지] 데이터 분석가 (DA),101College,"월 63,926원(12개월)",강의수미정,0.0,[]
19,Web · 프론트엔드 · 리베하얀,[할인] [교재 / 신규도서 무료 증정] 커리어 코스 - 리베하얀 프로의 웹 퍼블리셔 양성 과정,리베하얀,"월 206,666원(12개월)","20개 챕터, 334개 세부강의",0.0,[]
20,서버 · 백엔드 · 푸,[할인] 현직 대기업 개발자 푸와 함께하는 진짜 백엔드 시스템 실무!,푸,"월 27,800원(5개월)","10개 챕터, 35개 세부강의",4.9,"['수업내용이 지루하지 않고 핵심만 잘 설명해주셔서 좋았고 여러가지 실무기술들을 접해보고 적용가능해서 더 좋았던거 같습니다\n다음번에는 좀더 깊게 파고드는 강의를 하신다면 \n또 수강하겠습니다', '해당 클래스 강의를 들으면서 따라해보니 서비스 초기 설정 및 배포까지의 다양한 스킬 연습이 잘되는 것 같습니다.', '자세하고 친절한 설명이 좋았습니다. 참고하면 좋은 내용들을 찾아 첨부해주신 것도 인상적이었습니다.', '해당 클래스를 수강 하면서 몰랐던 지식을 알게되었고 실무중심의 내용이 담겨있어서 좋았습니다.']"
21,프로그래밍 언어 · 초이스 프로그래밍,"[할인] 프로그래밍의 기본! C언어와 자료구조, 동시에 입문하기",초이스 프로그래밍,"월 27,800원(5개월)","8개 챕터, 36개 세부강의",0.0,[]
22,서버 · 백엔드 · 개발자 사관학교,"[할인] [웹 개발자 단과반 2교시] MySQL, Node.js 백엔드 속성 실무!",개발자 사관학교,"월 21,800원(5개월)","7개 챕터, 33개 세부강의",0.0,[]
