,제목,가격,강사,URL,카테고리,리뷰
36,"파이썬 웹 스크래핑, 제가 가진 모든 비법을 알려드리겠습니다.",무료,나도코딩,https://edu.goorm.io/lecture/24961/파이썬-웹-스크래핑-제가-가진-모든-비법을-알려드리겠습니다,웹 프로그래밍 - 프로그래밍,['모든 강의가 흥미로웠고 파이썬에 대한 지식과 기술을 습득할 수 있었습니다.\n마지막 프로젝트 강의를 듣기 전에 혼자서 구현을 먼저 해보고\n강의를 들으며 제 코드와 비교를 해보았습니다.\n덕분에 파이썬 기술의 수준이 올라간 것 같습니다.\n정말 유익한 시간이었습니다.\n\n\n']
37,코딩 입문 - 하다 보니 알게 되는 자바스크립트,무료,월리,https://edu.goorm.io/lecture/24963/코딩-입문-하다-보니-알게-되는-자바스크립트,웹 프로그래밍 - 프로그래밍,['이해 잘됩니다']
38,2021 온라인 코딩 파티 시즌1 - 블록 코딩 용사가 되자!!!,무료,구름,https://edu.goorm.io/lecture/24788/2021-온라인-코딩-파티-시즌1-블록-코딩-용사가-되자,프로그래밍 - 블록 프로그래밍,['캐릭터가 없어지는 버그 때문에 못하겠어요']
39,2021 온라인 코딩 파티 시즌1 - 텍스트 코딩 용사가 되자!!!,무료,구름,https://edu.goorm.io/lecture/24789/2021-온라인-코딩-파티-시즌1-텍스트-코딩-용사가-되자,프로그래밍 - 프로그래밍 기초,['jhgvkhjb']
40,2021 온라인 코딩 파티 시즌1 - 파이썬 데이터 분석 및 시각화!!!,무료,구름,https://edu.goorm.io/lecture/24790/2021-온라인-코딩-파티-시즌1-파이썬-데이터-분석-및-시각화,프로그래밍 - 데이터 추출/분석,[':))))']
41,"2021 온라인 코딩 파티 시즌1 - 둘이서 코딩, 거북선과 척후선!!!",무료,구름,https://edu.goorm.io/lecture/24791/2021-온라인-코딩-파티-시즌1-둘이서-코딩-거북선과-척후선,프로그래밍 - 블록 프로그래밍,['와우 너무 재밌어요\n']
42,2021 온라인 코딩 파티 시즌1 - 코딩랜드를 구하라!!!,무료,구름,https://edu.goorm.io/lecture/24792/2021-온라인-코딩-파티-시즌1-코딩랜드를-구하라,프로그래밍 - 블록 프로그래밍,['똥싸세요']
43,2021 온라인 코딩 파티 시즌1 - 도전 틱택토!!!,무료,구름,https://edu.goorm.io/lecture/24793/2021-온라인-코딩-파티-시즌1-도전-틱택토,프로그래밍 - 프로그래밍 기초,['ㅋㅋ 심심풀이로 들어봤는데 재밌네요.']
44,[애플 공식 교재] 스위프트 퍼즐 2 - AD free,"₩11,000",코더스하이,https://edu.goorm.io/lecture/24597/애플-공식-교재-스위프트-퍼즐-2-ad-free,프로그래밍 - 프로그래밍 기초,[]
45,[애플 공식 교재] 스위프트 퍼즐 1 - AD free,"₩11,000",코더스하이,https://edu.goorm.io/lecture/24579/애플-공식-교재-스위프트-퍼즐-1-ad-free,프로그래밍 - 프로그래밍 기초,[]
46,스프링부트 개념정리,무료,데어 프로그래밍,https://edu.goorm.io/lecture/24604/스프링부트-개념정리,웹 프로그래밍 - 프로그래밍,['개념잡기에 너무 좋습니다']
47,스프링부트 나만의 블로그 만들기,무료,데어 프로그래밍,https://edu.goorm.io/lecture/24605/스프링부트-나만의-블로그-만들기,웹 프로그래밍 - 프로그래밍,['설명이 너무 잘되어있어요\n']
48,스프링부트 시큐리티 특강,무료,데어 프로그래밍,https://edu.goorm.io/lecture/24606/스프링부트-시큐리티-특강,웹 프로그래밍 - 프로그래밍,[]
49,[따라하며 배우는 리액트&파이어베이스] 채팅 애플리케이션 만들기,"₩31,900",John Ahn,https://edu.goorm.io/lecture/24672/따라하며-배우는-리액트-파이어베이스-채팅-애플리케이션-만들기,웹 프로그래밍 - 프로그래밍,"['중반정도 듣고 있는데 아무래도 채팅 기능 구현에 중점을 둔 내용이다 보니 사용하는 다른 라이브러리에 대해 자세한 설명이 곁들여지지 않아 아쉽습니다. 예를 들어, react-hook-form이 어떤 부분에서 성능이 좋은지... 해당 라이브러리를 사용하면 재렌더링 횟수가 많이 줄어드는 부분을 리액트의 제어 컴포넌트와 비제어 컴포넌트에 연관해서 추가 설명이 필요할 거 같은데, 이런 부분들이 빠른 진행을 위해 간단하게 설명하고(""성능이 좋다"",  ""이 라이브러리는 ref를 사용하는 방식이다"" 식으로) 넘어가는 거 같아 아쉽습니다. \n\n그림으로 컴포넌트 구조등을 설명해주신 자료가 굉장히 좋습니다. 한눈에 보기에 정말 편리합니다.\n\n완강 후에 수강평 다시 작성하겠습니다.']"
50,실전! 웹사이트 제작 Step by Step Basic Course - 한국소비자원,"₩11,000",J.young,https://edu.goorm.io/lecture/24580/실전-웹사이트-제작-step-by-step-basic-course-한국소비자원,웹 프로그래밍 - 프로그래밍,[]
51,실전! 웹사이트 제작 Step by Step Basic Course - '돕다' 웹사이트,"₩22,000",J.young,https://edu.goorm.io/lecture/24581/실전-웹사이트-제작-step-by-step-basic-course-돕다-웹사이트,웹 프로그래밍 - 프로그래밍,[]
52,생산성 UP! R과 파이썬으로 하는 문서 자동화,무료,Issac Lee,https://edu.goorm.io/lecture/24475/생산성-up-r과-파이썬으로-하는-문서-자동화,프로그래밍 - 기타,[]
53,가위바위보 게임을 만들며 맛보는 파이썬3,무료,구름,https://edu.goorm.io/lecture/24499/가위바위보-게임을-만들며-맛보는-파이썬3,프로그래밍 - 프로그래밍 기초,['very good']
54,실전 유형 코딩 테스트 모의고사 3000 Part2,"₩50,000",구름,https://edu.goorm.io/lecture/24058/실전-유형-코딩-테스트-모의고사-3000-part2,프로그래밍 - 알고리즘,[]
55,SQL과 구글시트로 시작하는 데이터분석,"₩19,800",박범진,https://edu.goorm.io/lecture/24342/sql과-구글시트로-시작하는-데이터분석,프로그래밍 - 데이터 추출/분석,[]
56,실전 유형 코딩 테스트 모의고사 3000 Part1,"₩50,000",구름,https://edu.goorm.io/lecture/24057/실전-유형-코딩-테스트-모의고사-3000-part1,프로그래밍 - 알고리즘,[]
57,신입 개발자로 살아남기 Lv1. 나만의 기술 블로그로 관리하는 개발자 커리어,"₩39,000",원혜린,https://edu.goorm.io/lecture/23072/신입-개발자로-살아남기-lv1-나만의-기술-블로그로-관리하는-개발자-커리어,웹 프로그래밍 - 프로그래밍,['go']
58,리눅스 쉘 스크립트 마스터,"₩99,000",홍영기,https://edu.goorm.io/lecture/24102/리눅스-쉘-스크립트-마스터,프로그래밍 - 데브옵스,[]
59,[애플 공식 교재] iOS 앱 만들기 Part1,"₩38,500",코더스하이,https://edu.goorm.io/lecture/24101/애플-공식-교재-ios-앱-만들기-part1,프로그래밍 - 모바일 프로그래밍,['유익해요']
60,[애플 공식 교재] iOS 앱 만들기 입문,"₩38,500",코더스하이,https://edu.goorm.io/lecture/23901/애플-공식-교재-ios-앱-만들기-입문,프로그래밍 - 모바일 프로그래밍,['재밌고 알아듣기 쉽게 설명해주셔서 너무 좋습니다 !']
61,파이썬으로 하는 데이터 분석 - Pandas 제대로 배우기,"₩36,000",아이티고,https://edu.goorm.io/lecture/23732/파이썬으로-하는-데이터-분석-pandas-제대로-배우기,프로그래밍 - 데이터 추출/분석,[]
62,[2020 NEW] 코틀린 기반 안드로이드 앱 개발 Part3 - 데이터 관리와 네트워크,"₩66,000",소프트캠퍼스,https://edu.goorm.io/lecture/23730/2020-new-코틀린-기반-안드로이드-앱-개발-part3-데이터-관리와-네트워크,프로그래밍 - 모바일 프로그래밍,[]
63,[2020 NEW] 코틀린 기반 안드로이드 앱 개발 Part2 - 메뉴와 4대 구성요소,"₩66,000",소프트캠퍼스,https://edu.goorm.io/lecture/23729/2020-new-코틀린-기반-안드로이드-앱-개발-part2-메뉴와-4대-구성요소,프로그래밍 - 모바일 프로그래밍,[]
64,파이썬 기반 판다스(Pandas)를 활용한 데이터 분석,"₩66,000",소프트캠퍼스,https://edu.goorm.io/lecture/23731/파이썬-기반-판다스-pandas-를-활용한-데이터-분석,프로그래밍 - 데이터 추출/분석,[]
65,한 눈에 끝내는 CSS/JS 애니메이션,"₩59,000",구름,https://edu.goorm.io/lecture/17509/한-눈에-끝내는-css-js-애니메이션,웹 프로그래밍 - 프로그래밍,[]
66,현직 개발자가 알려주는 안드로이드 코틀린 앱 제작,무료,홍드로이드,https://edu.goorm.io/lecture/23399/현직-개발자가-알려주는-안드로이드-코틀린-앱-제작,프로그래밍 - 모바일 프로그래밍,['간단하고 쉬워서 좋아요!']
67,현직 개발자가 알려주는 자바 기초 문법,무료,홍드로이드,https://edu.goorm.io/lecture/23398/현직-개발자가-알려주는-자바-기초-문법,프로그래밍 - 프로그래밍 기초,['good!']
68,실전 유형 코딩 테스트 모의고사 3000,"₩100,000",구름,https://edu.goorm.io/lecture/23503/실전-유형-코딩-테스트-모의고사-3000,프로그래밍 - 알고리즘,[]
69,파이썬으로 하는 데이터 분석 - 시각화 제대로 배우기,"₩40,000",아이티고,https://edu.goorm.io/lecture/23405/파이썬으로-하는-데이터-분석-시각화-제대로-배우기,프로그래밍 - 데이터 추출/분석,[]
70,[온라인 SW 아카데미] 너도 할 수 있어! AI 만들기,무료,세명컴퓨터고등학교장,https://edu.goorm.io/lecture/22325/온라인-sw-아카데미-너도-할-수-있어-ai-만들기,프로그래밍 - 인공지능,['감사합니다.']
71,[온라인 SW 아카데미] 컴린이도 화이트해커가 될 수 있다?!,무료,세명컴퓨터고등학교장,https://edu.goorm.io/lecture/22341/온라인-sw-아카데미-컴린이도-화이트해커가-될-수-있다,프로그래밍 - 보안,['꼭 입학 할겁니다']
72,[온라인 SW 아카데미] 유니티로 배우는 게임 프로그래밍 기초,무료,세명컴퓨터고등학교장,https://edu.goorm.io/lecture/22342/온라인-sw-아카데미-유니티로-배우는-게임-프로그래밍-기초,프로그래밍 - 게임 개발,['이해가 잘되는 강의입니다.']
73,[온라인 SW 아카데미] 스마트폰 센서 제어를 위한 앱(app) 개발,무료,세명컴퓨터고등학교장,https://edu.goorm.io/lecture/22344/온라인-sw-아카데미-스마트폰-센서-제어를-위한-앱-app-개발,프로그래밍 - 기타,['좋아요']
74,파이썬으로 배우는 알고리즘 기초,무료,주니온,https://edu.goorm.io/lecture/22654/파이썬으로-배우는-알고리즘-기초,프로그래밍 - 알고리즘,[' ']
75,"그림으로 배우는 HTML-CSS, 입문!","₩19,800",홍팍,https://edu.goorm.io/lecture/22109/그림으로-배우는-html-css-입문,웹 프로그래밍 - 프로그래밍,['좋아요']
76,비타알고와 정보올림피아드 준비하기 with 모의고사,"₩80,000",구름,https://edu.goorm.io/lecture/22442/비타알고와-정보올림피아드-준비하기-with-모의고사,프로그래밍 - 알고리즘,[]
77,따라하며 배우는 도커와 CI환경,"₩24,200",John Ahn,https://edu.goorm.io/lecture/22383/따라하며-배우는-도커와-ci환경,프로그래밍 - 데브옵스,['단순 사용법 뿐만아닌 원리까지 설명해주시려는 모습이 넘 좋습니다!!']
78,"그림으로 배우는 자바, 객체지향!","₩19,800",홍팍,https://edu.goorm.io/lecture/22108/그림으로-배우는-자바-객체지향,프로그래밍 - 프로그래밍 기초,['작년 무료강의듣고 너무 좋아서 다시 찾아왔습니다!!\n무료가 너무 잘되있어서 유료로 듣기를 고민 했는데 그외 구체적인 예시들이 나오면서 진작 유료도 들을껄이란 생각이 듭니다!! 제발...다른 언어도 내주세요 선생님....ㅠㅠ']
79,"그림으로 배우는 자바, 입문!","₩19,800",홍팍,https://edu.goorm.io/lecture/22087/그림으로-배우는-자바-입문,프로그래밍 - 프로그래밍 기초,['챕터별로 짧고 굵게 잘 설명해주셔서 너무 좋아요']
80,한 눈에 보는 타입스크립트,무료,영웅박,https://edu.goorm.io/lecture/22106/한-눈에-보는-타입스크립트,웹 프로그래밍 - 프로그래밍,['이해하기 쉽게 설명이 잘되어 있습니다.']
81,[애플 공식 교재] 스위프트 퍼즐 2,무료,코더스하이,https://edu.goorm.io/lecture/22013/애플-공식-교재-스위프트-퍼즐-2,프로그래밍 - 프로그래밍 기초,[]
82,[애플 공식 교재] 스위프트 퍼즐 1,무료,코더스하이,https://edu.goorm.io/lecture/21987/애플-공식-교재-스위프트-퍼즐-1,프로그래밍 - 프로그래밍 기초,[]
83,"코린아, 코딩하자! with 파이썬",무료,주니온,https://edu.goorm.io/lecture/21975/코린아-코딩하자-with-파이썬,프로그래밍 - 프로그래밍 기초,"['선생님 인상도 너무 좋으시고, 파이썬 완전 처음인데 이해도 잘되네요~ 감사합니다. 아직 갈 길이 멀지만 열심히 해보겠습니다!']"
84,무료 파이썬 활용편2 - GUI 프로그래밍,무료,나도코딩,https://edu.goorm.io/lecture/21780/무료-파이썬-활용편2-gui-프로그래밍,프로그래밍 - 프로그래밍 기초,['자세한 설명과 풍부한 예제. 좋습니다.']
85,아두이노 시뮬레이터  - 팅커캐드 서킷,무료,메이커멘토,https://edu.goorm.io/lecture/21770/아두이노-시뮬레이터-팅커캐드-서킷,프로그래밍 - IoT,['너무 쉽게 이해하기 쉬웠어요~!! ']
86,안드로이드 앱 개발로 배우는 자바 코딩 기초,"₩19,000",Denis Jung,https://edu.goorm.io/lecture/21383/안드로이드-앱-개발로-배우는-자바-코딩-기초,프로그래밍 - 모바일 프로그래밍,[]
87,한 눈에 읽는 루비 온 레일즈,무료,구름,https://edu.goorm.io/lecture/16335/한-눈에-읽는-루비-온-레일즈,웹 프로그래밍 - 프로그래밍,['굳']
88,코돈의 7주 완성 기초 프로그래밍,"₩20,000",codon knumed,https://edu.goorm.io/lecture/16902/코돈의-7주-완성-기초-프로그래밍,프로그래밍 - 프로그래밍 기초,['완벽한 강의입니다. 제작하느라 고생 많으셨습니다. ']
89,동시에 배우는 C와 C++,무료,두들낙서,https://edu.goorm.io/lecture/21611/동시에-배우는-c와-c,프로그래밍 - 프로그래밍 기초,['차근차근 잘 설명해주셔서 좋습니다 :D']
90,이부일의 R릴레오 기초편,무료,이 부일,https://edu.goorm.io/lecture/21022/이부일의-r릴레오-기초편,프로그래밍 - 데이터 추출/분석,[]
91,[R] 머신러닝을 위한 통계학 기초,"₩44,550",코코,https://edu.goorm.io/lecture/21244/r-머신러닝을-위한-통계학-기초,프로그래밍 - 수학,[]
92,한큐에 끝내는 해커톤 입문_아두이노와 웹,"₩3,300",밍밍이와 맹맹이,https://edu.goorm.io/lecture/21118/한큐에-끝내는-해커톤-입문_아두이노와-웹,프로그래밍 - IoT,[]
93,코딩셰프의 Flutter 순한맛,무료,코딩셰프,https://edu.goorm.io/lecture/21167/코딩셰프의-flutter-순한맛,프로그래밍 - 모바일 프로그래밍,['GOOD~\n']
94,안드로이드를 위한 자바 프로그래밍,"₩10,000",소프트캠퍼스,https://edu.goorm.io/lecture/21052/안드로이드를-위한-자바-프로그래밍,프로그래밍 - 모바일 프로그래밍,[]
95,컴퓨터 일반론,무료,MN만능아카데미,https://edu.goorm.io/lecture/13426/컴퓨터-일반론,프로그래밍 - 기타,[]
96,[저자 직강] Do it! 딥러닝 입문,무료,이지스퍼블리싱,https://edu.goorm.io/lecture/21177/저자-직강-do-it-딥러닝-입문,프로그래밍 - 인공지능,['이해하기 쉽게 잘 설명주고 있습니다.']
97,무료 파이썬 활용편1 - 추억의 오락실 게임 만들기,무료,나도코딩,https://edu.goorm.io/lecture/21001/무료-파이썬-활용편1-추억의-오락실-게임-만들기,프로그래밍 - 게임 개발,['따라하기 쉽네요']
98,디스코드 자바스크립트 튜토리얼 - 이전버전,무료,제스퍼,https://edu.goorm.io/lecture/20853/디스코드-자바스크립트-튜토리얼-이전버전,웹 프로그래밍 - 프로그래밍,['디스코드봇을 구동시키는방법도 리눅스와 윈도우용으로 각각있었으면 좋겠어요!\n']
99,[2020 NEW] 코틀린 기반 안드로이드 앱 개발 Part1 - Kotlin UI Programming,"₩66,000",소프트캠퍼스,https://edu.goorm.io/lecture/20669/2020-new-코틀린-기반-안드로이드-앱-개발-part1-kotlin-ui-programming,프로그래밍 - 모바일 프로그래밍,[]
100,모두를 위한 클라우드 컴퓨팅 입문,"₩28,000",김유경,https://edu.goorm.io/lecture/18575/모두를-위한-클라우드-컴퓨팅-입문,프로그래밍 - 데브옵스,['기초개념이 잘이해되었습니다.']
101,Google 공식 언어 Kotlin 프로그래밍 시작하기,"₩44,000",소프트캠퍼스,https://edu.goorm.io/lecture/20670/google-공식-언어-kotlin-프로그래밍-시작하기,프로그래밍 - 프로그래밍 기초,[]
102,김버그의 HTML&CSS는 재밌다,"₩90,000",김버그,https://edu.goorm.io/lecture/20583/김버그의-html-css는-재밌다,웹 프로그래밍 - 프로그래밍,['재미있어요\n']
103,따라하며 배우는 데노(DENO),무료,John Ahn,https://edu.goorm.io/lecture/20663/따라하며-배우는-데노-deno,웹 프로그래밍 - 프로그래밍,['blind expert spot 이  전혀 보이지 않는 강의 !']
104,텐서플로2로 배우는 딥러닝,무료,Minsuk Heo,https://edu.goorm.io/lecture/20687/텐서플로2로-배우는-딥러닝,프로그래밍 - 인공지능,['너무 좋습니다']
105,딥러닝 이론 및 파이썬 실습,무료,Minsuk Heo,https://edu.goorm.io/lecture/20671/딥러닝-이론-및-파이썬-실습,프로그래밍 - 인공지능,['쉽고 재밌네요~\n']
106,일본어로 배우는 Java 입문,"₩30,000",崔智恵,https://edu.goorm.io/lecture/20397/일본어로-배우는-java-입문,프로그래밍 - 프로그래밍 기초,[]
107,[번역판] CLEAN CODE JAVASCRIPT,무료,박명호,https://edu.goorm.io/lecture/20119/번역판-clean-code-javascript,웹 프로그래밍 - 프로그래밍,['감사합니다']
108,한 눈에 끝내는 SQL,"₩99,000",구름,https://edu.goorm.io/lecture/15413/한-눈에-끝내는-sql,프로그래밍 - 데이터베이스,['좋아요']
109,[30분 요약 시리즈 시즌2] Python 활용편,무료,제주코딩베이스캠프,https://edu.goorm.io/lecture/20254/30분-요약-시리즈-시즌2-python-활용편,프로그래밍 - 데이터 추출/분석,['좋아요.']
110,COS PRO 1급 기출문제 - Python,무료,두잉창의코딩,https://edu.goorm.io/lecture/17299/cos-pro-1급-기출문제-python,프로그래밍 - 프로그래밍 기초,['yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee']
111,COS PRO 1급 기출문제 - C++,무료,두잉창의코딩,https://edu.goorm.io/lecture/17300/cos-pro-1급-기출문제-c,프로그래밍 - 프로그래밍 기초,['오호홍 좋아요!']
112,COS PRO 1급 기출문제 - Java,무료,두잉창의코딩,https://edu.goorm.io/lecture/17301/cos-pro-1급-기출문제-java,프로그래밍 - 프로그래밍 기초,['시험보는 방식으로 공부할 수 있어 좋습니다']
113,COS PRO 1급 기출문제 - C언어,무료,두잉창의코딩,https://edu.goorm.io/lecture/17298/cos-pro-1급-기출문제-c언어,프로그래밍 - 프로그래밍 기초,['참 재미있었다']
114,프레임워크를 위한 JavaScript ES6,"₩49,000",강태공,https://edu.goorm.io/lecture/19879/프레임워크를-위한-javascript-es6,웹 프로그래밍 - 프로그래밍,['종강하고 방학때 자바 스크립트 강좌를 듣는데 초보자의 관점에 맞춰서 재밌고 쉽게 설명해주셔서 재밌네요']
115,5일 만에 200만원 버는 웹과 앱 만들기,무료,조코딩,https://edu.goorm.io/lecture/20213/5일-만에-200만원-버는-웹과-앱-만들기,프로그래밍 - 모바일 프로그래밍,['좋은 강의를 들어서 감사했습니다.']
116,[따라하며 배우는 노드&리액트] 챗봇 사이트 만들기,무료,John Ahn,https://edu.goorm.io/lecture/20020/따라하며-배우는-노드-리액트-챗봇-사이트-만들기,웹 프로그래밍 - 프로그래밍,[]
117,친절한 통계학 feat. R,무료,Issac Lee,https://edu.goorm.io/lecture/20108/친절한-통계학-feat-r,프로그래밍 - 수학,['통계 완벽 그 자체']
118,[따라하며 배우는 노드&리액트] 영화 사이트 만들기,무료,John Ahn,https://edu.goorm.io/lecture/20019/따라하며-배우는-노드-리액트-영화-사이트-만들기,웹 프로그래밍 - 프로그래밍,['이해하기 쉽게 설명해주고 있습니다. ']
119,파닥파닥 Flutter (빠르고 가볍게 Flutter 흔들기),무료,padak padak,https://edu.goorm.io/lecture/17450/파닥파닥-flutter-빠르고-가볍게-flutter-흔들기,프로그래밍 - 프로그래밍 기초,['좋은 무료강의 감사합니다.']
120,무료 파이썬 기본편 - 6시간 뒤면 나도 개발자,무료,나도코딩,https://edu.goorm.io/lecture/19917/무료-파이썬-기본편-6시간-뒤면-나도-개발자,프로그래밍 - 프로그래밍 기초,['이해하기 쉽게 설명해주셔서 귀에 쏙쏙들어와요\n']
121,[무작정 풀스택] 플러터와 장고로 1시간 만에 퀴즈앱/서버 만들기,무료,권태형,https://edu.goorm.io/lecture/20021/무작정-풀스택-플러터와-장고로-1시간-만에-퀴즈앱-서버-만들기,프로그래밍 - 모바일 프로그래밍,['소스는 깃허브에 있는데... \n받아서 봐가면서... 설명에 집중하시면 됩니다.\n설명이 좀 빠르긴 하지만... 찬찬히 되돌려 보면서...\n개발 흐름을 이해 하는게 중요할것 같네요...\n자세한 공부는 관련 되는 내용들을 찾아가면서 \n직접 하나씩 해나가야 합니다...']
122,쉽게 만드는 라라벨 뷰 채팅,무료,코지 코더,https://edu.goorm.io/lecture/18959/쉽게-만드는-라라벨-뷰-채팅,웹 프로그래밍 - 프로그래밍,[]
123,Azure 가상 컴퓨터 - 초급,"₩10,000",클라우드메이트,https://edu.goorm.io/lecture/19762/azure-가상-컴퓨터-초급,프로그래밍 - 데브옵스,[]
124,한 눈에 읽는 자바 기초,무료,구름,https://edu.goorm.io/lecture/19448/한-눈에-읽는-자바-기초,프로그래밍 - 프로그래밍 기초,['C보다는 조금 어렵게 설명이 돼 있는데 초보자 분들도 천천히 읽어보시면 이해하실 수 있지 싶어요!']
125,[Pytorch] 쉽고 빠르게 배우는 NLP,"₩55,000",코코,https://edu.goorm.io/lecture/19637/pytorch-쉽고-빠르게-배우는-nlp,프로그래밍 - 인공지능,[]
126,"딥러닝 강좌할껀데, 실습만 합니다",무료,Yoseob Han,https://edu.goorm.io/lecture/19373/딥러닝-강좌할껀데-실습만-합니다,프로그래밍 - 인공지능,[]
127,[무작정 플러터] Flutter + Firebase 넷플릭스UI 클론 코딩,무료,권태형,https://edu.goorm.io/lecture/19172/무작정-플러터-flutter-firebase-넷플릭스ui-클론-코딩,프로그래밍 - 모바일 프로그래밍,['강좌 내용이 좋습니다.\n\n다만 말은 좀 느린 편이신데\n타이핑은 엄청 빠르게 하셔서.\n영상배속을 0.75x 해서 보는 중입니다.']
128,[스프링 시리즈2] 만들면서 배우는 Spring MVC 5,"₩88,000",소프트캠퍼스,https://edu.goorm.io/lecture/19341/스프링-시리즈2-만들면서-배우는-spring-mvc-5,웹 프로그래밍 - 프로그래밍,[]
129,쉽게 배우는 Vue.js 2 기초,무료,코지 코더,https://edu.goorm.io/lecture/18958/쉽게-배우는-vue-js-2-기초,웹 프로그래밍 - 프로그래밍,['Vue 프로젝트를 처음 설치하고 \nindex.html 이 어떻게 화면에표시되는가\n그 구조가 너무 알고싶었는데 아무리 찾아도 보이지않았습니다. 이강좌를 듣고 너무 도움이되었습니다.감사합니다']
130,홍드로이드의 수익창출 앱 개발,"₩55,000",홍드로이드,https://edu.goorm.io/lecture/18156/홍드로이드의-수익창출-앱-개발,프로그래밍 - 모바일 프로그래밍,['강의는 강사에게 ^^']
131,따라하면서 배우는 리눅스 고급,무료,_따라學IT따라하면서 배우는 IT,https://edu.goorm.io/lecture/18950/따라하면서-배우는-리눅스-고급,프로그래밍 - 데브옵스,['쉽게 잘설명하십니다!\n']
132,따라하면서 배우는 리눅스 기초,무료,_따라學IT따라하면서 배우는 IT,https://edu.goorm.io/lecture/18808/따라하면서-배우는-리눅스-기초,프로그래밍 - 데브옵스,['굳!\n']
133,[R] KOSPI/KOSDAQ 전 종목 데이터 수집 및 관리,"₩55,000",코코,https://edu.goorm.io/lecture/19043/r-kospi-kosdaq-전-종목-데이터-수집-및-관리,프로그래밍 - 데이터 추출/분석,[]
134,MATLAB처럼 쓰는 PYTHON,무료,박범진,https://edu.goorm.io/lecture/19064/matlab처럼-쓰는-python,프로그래밍 - 프로그래밍 기초,[]
135,쉽게 배우는 라라벨 기초,무료,코지 코더,https://edu.goorm.io/lecture/18957/쉽게-배우는-라라벨-기초,웹 프로그래밍 - 프로그래밍,['들을만 해요.']
136,[Pytorch] 쉽고 빠르게 배우는 GAN,"₩49,500",코코,https://edu.goorm.io/lecture/19030/pytorch-쉽고-빠르게-배우는-gan,프로그래밍 - 인공지능,[]
137,SELECT ALL FROM SQL,무료,박범진,https://edu.goorm.io/lecture/18815/select-all-from-sql,프로그래밍 - 데이터 추출/분석,['sql의 기본을 익히기에 너무나 만족스러웠습니다. 좋은 강의 무료로 해주셔서 감사합니다.']
138,시선을 사로잡는 웹 - 초급,"₩69,300",DevelUP,https://edu.goorm.io/lecture/18923/시선을-사로잡는-웹-초급,웹 프로그래밍 - 프로그래밍,[]
139,시선을 사로잡는 웹 - 중급,"₩69,300",DevelUP,https://edu.goorm.io/lecture/17901/시선을-사로잡는-웹-중급,웹 프로그래밍 - 프로그래밍,[]
140,[AZ-900 Certificate] Azure Basic,"₩30,000",클라우드메이트,https://edu.goorm.io/lecture/18531/az-900-certificate-azure-basic,프로그래밍 - 데브옵스,['good']
141,DataScience와 AI의 개념,"₩29,700",코코,https://edu.goorm.io/lecture/18477/datascience와-ai의-개념,프로그래밍 - 인공지능,['good']
142,위클리 비타알고 시즌3 코딩테스트 체력 키우기,"₩200,000",안홍자,https://edu.goorm.io/lecture/18444/위클리-비타알고-시즌3-코딩테스트-체력-키우기,프로그래밍 - 알고리즘,['정말 유익한 강좌입니다.']
143,한 눈에 읽는 파이썬3 기초,무료,구름,https://edu.goorm.io/lecture/17902/한-눈에-읽는-파이썬3-기초,프로그래밍 - 프로그래밍 기초,['너무너무 좋습니당']
144,김버그의 CSS는 재밌다 - 기초부터 실무 레벨까지,"₩50,000",김버그,https://edu.goorm.io/lecture/17829/김버그의-css는-재밌다-기초부터-실무-레벨까지,웹 프로그래밍 - 프로그래밍,[' ']
145,[따라하며 배우는 노드&리액트] 유튜브 사이트 만들기,무료,John Ahn,https://edu.goorm.io/lecture/17853/따라하며-배우는-노드-리액트-유튜브-사이트-만들기,웹 프로그래밍 - 프로그래밍,['좋습니다']
146,[Pytorch] 쉽고 빠르게 배우는 딥러닝,"₩82,500",코코,https://edu.goorm.io/lecture/17903/pytorch-쉽고-빠르게-배우는-딥러닝,프로그래밍 - 인공지능,[]
147,[백문이불여일타] 데이터 분석을 위한 중급 SQL,"₩44,000",YE H,https://edu.goorm.io/lecture/17832/백문이불여일타-데이터-분석을-위한-중급-sql,프로그래밍 - 데이터 추출/분석,[]
148,[따라하며 배우는 노드&리액트] Boiler-Plate 만들기,무료,John Ahn,https://edu.goorm.io/lecture/17855/따라하며-배우는-노드-리액트-boiler-plate-만들기,웹 프로그래밍 - 프로그래밍,['이해하기 쉽게 설명해주십니다.']
149,[백문이불여일타] 데이터 분석을 위한 기초 SQL,"₩22,000",leebomin,https://edu.goorm.io/lecture/17831/백문이불여일타-데이터-분석을-위한-기초-sql,프로그래밍 - 데이터 추출/분석,[]
150,R프로그래밍 기초 다지기,무료,코코,https://edu.goorm.io/lecture/17848/r프로그래밍-기초-다지기,프로그래밍 - 데이터 추출/분석,"['선생님~! R 처음 접하는데 기초를 다질 수 있는 좋은 시간이었습니다. 감사합니다! 다만, 강의 진행하는데 있어 대명사를 종종 사용하시거나 말씀이 생략되는 경우가 있는 부분만 조금 더 수강생 입장에서 강의해주시면 더 감사할 것 같습니다 ㅎㅎ 좋은 강의 감사합니다! 복받으세요!']"
151,나도 AWS에 서버 구축해보자🐶,무료,월리,https://edu.goorm.io/lecture/17834/나도-aws에-서버-구축해보자,프로그래밍 - 데브옵스,['이해가 잘됩니다!!']
