,제목,가격,강사,평점,URL
45,[애플 공식 교재] 스위프트 퍼즐 1 - AD free,"₩11,000",코더스하이,0.0,https://edu.goorm.io/lecture/24579/애플-공식-교재-스위프트-퍼즐-1-ad-free
46,스프링부트 개념정리,무료,데어 프로그래밍,4.8,https://edu.goorm.io/lecture/24604/스프링부트-개념정리
47,스프링부트 나만의 블로그 만들기,무료,데어 프로그래밍,5.0,https://edu.goorm.io/lecture/24605/스프링부트-나만의-블로그-만들기
48,스프링부트 시큐리티 특강,무료,데어 프로그래밍,5.0,https://edu.goorm.io/lecture/24606/스프링부트-시큐리티-특강
49,[따라하며 배우는 리액트&파이어베이스] 채팅 애플리케이션 만들기,"₩31,900",John Ahn,4.2,https://edu.goorm.io/lecture/24672/따라하며-배우는-리액트-파이어베이스-채팅-애플리케이션-만들기
50,실전! 웹사이트 제작 Step by Step Basic Course - 한국소비자원,"₩11,000",J.young,5.0,https://edu.goorm.io/lecture/24580/실전-웹사이트-제작-step-by-step-basic-course-한국소비자원
51,실전! 웹사이트 제작 Step by Step Basic Course - '돕다' 웹사이트,"₩22,000",J.young,5.0,https://edu.goorm.io/lecture/24581/실전-웹사이트-제작-step-by-step-basic-course-돕다-웹사이트
52,생산성 UP! R과 파이썬으로 하는 문서 자동화,무료,Issac Lee,0.0,https://edu.goorm.io/lecture/24475/생산성-up-r과-파이썬으로-하는-문서-자동화
53,가위바위보 게임을 만들며 맛보는 파이썬3,무료,구름,4.9,https://edu.goorm.io/lecture/24499/가위바위보-게임을-만들며-맛보는-파이썬3
54,실전 유형 코딩 테스트 모의고사 3000 Part2,"₩50,000",구름,3.0,https://edu.goorm.io/lecture/24058/실전-유형-코딩-테스트-모의고사-3000-part2
55,SQL과 구글시트로 시작하는 데이터분석,"₩19,800",박범진,5.0,https://edu.goorm.io/lecture/24342/sql과-구글시트로-시작하는-데이터분석
56,실전 유형 코딩 테스트 모의고사 3000 Part1,"₩50,000",구름,5.0,https://edu.goorm.io/lecture/24057/실전-유형-코딩-테스트-모의고사-3000-part1
57,신입 개발자로 살아남기 Lv1. 나만의 기술 블로그로 관리하는 개발자 커리어,"₩39,000",원혜린,4.6,https://edu.goorm.io/lecture/23072/신입-개발자로-살아남기-lv1-나만의-기술-블로그로-관리하는-개발자-커리어
58,리눅스 쉘 스크립트 마스터,"₩99,000",홍영기,0.0,https://edu.goorm.io/lecture/24102/리눅스-쉘-스크립트-마스터
59,[애플 공식 교재] iOS 앱 만들기 Part1,"₩38,500",코더스하이,5.0,https://edu.goorm.io/lecture/24101/애플-공식-교재-ios-앱-만들기-part1
60,[애플 공식 교재] iOS 앱 만들기 입문,"₩38,500",코더스하이,5.0,https://edu.goorm.io/lecture/23901/애플-공식-교재-ios-앱-만들기-입문
61,파이썬으로 하는 데이터 분석 - Pandas 제대로 배우기,"₩36,000",아이티고,0.0,https://edu.goorm.io/lecture/23732/파이썬으로-하는-데이터-분석-pandas-제대로-배우기
62,[2020 NEW] 코틀린 기반 안드로이드 앱 개발 Part3 - 데이터 관리와 네트워크,"₩66,000",소프트캠퍼스,0.0,https://edu.goorm.io/lecture/23730/2020-new-코틀린-기반-안드로이드-앱-개발-part3-데이터-관리와-네트워크
63,[2020 NEW] 코틀린 기반 안드로이드 앱 개발 Part2 - 메뉴와 4대 구성요소,"₩66,000",소프트캠퍼스,0.0,https://edu.goorm.io/lecture/23729/2020-new-코틀린-기반-안드로이드-앱-개발-part2-메뉴와-4대-구성요소
64,파이썬 기반 판다스(Pandas)를 활용한 데이터 분석,"₩66,000",소프트캠퍼스,0.0,https://edu.goorm.io/lecture/23731/파이썬-기반-판다스-pandas-를-활용한-데이터-분석
65,한 눈에 끝내는 CSS/JS 애니메이션,"₩59,000",구름,5.0,https://edu.goorm.io/lecture/17509/한-눈에-끝내는-css-js-애니메이션
66,현직 개발자가 알려주는 안드로이드 코틀린 앱 제작,무료,홍드로이드,4.8,https://edu.goorm.io/lecture/23399/현직-개발자가-알려주는-안드로이드-코틀린-앱-제작
67,현직 개발자가 알려주는 자바 기초 문법,무료,홍드로이드,5.0,https://edu.goorm.io/lecture/23398/현직-개발자가-알려주는-자바-기초-문법
68,실전 유형 코딩 테스트 모의고사 3000,"₩100,000",구름,0.0,https://edu.goorm.io/lecture/23503/실전-유형-코딩-테스트-모의고사-3000
69,파이썬으로 하는 데이터 분석 - 시각화 제대로 배우기,"₩40,000",아이티고,0.0,https://edu.goorm.io/lecture/23405/파이썬으로-하는-데이터-분석-시각화-제대로-배우기
70,[온라인 SW 아카데미] 너도 할 수 있어! AI 만들기,무료,세명컴퓨터고등학교장,5.0,https://edu.goorm.io/lecture/22325/온라인-sw-아카데미-너도-할-수-있어-ai-만들기
71,[온라인 SW 아카데미] 컴린이도 화이트해커가 될 수 있다?!,무료,세명컴퓨터고등학교장,5.0,https://edu.goorm.io/lecture/22341/온라인-sw-아카데미-컴린이도-화이트해커가-될-수-있다
72,[온라인 SW 아카데미] 유니티로 배우는 게임 프로그래밍 기초,무료,세명컴퓨터고등학교장,5.0,https://edu.goorm.io/lecture/22342/온라인-sw-아카데미-유니티로-배우는-게임-프로그래밍-기초
73,[온라인 SW 아카데미] 스마트폰 센서 제어를 위한 앱(app) 개발,무료,세명컴퓨터고등학교장,5.0,https://edu.goorm.io/lecture/22344/온라인-sw-아카데미-스마트폰-센서-제어를-위한-앱-app-개발
74,파이썬으로 배우는 알고리즘 기초,무료,주니온,5.0,https://edu.goorm.io/lecture/22654/파이썬으로-배우는-알고리즘-기초
75,"그림으로 배우는 HTML-CSS, 입문!","₩19,800",홍팍,5.0,https://edu.goorm.io/lecture/22109/그림으로-배우는-html-css-입문
76,비타알고와 정보올림피아드 준비하기 with 모의고사,"₩80,000",구름,0.0,https://edu.goorm.io/lecture/22442/비타알고와-정보올림피아드-준비하기-with-모의고사
77,따라하며 배우는 도커와 CI환경,"₩24,200",John Ahn,5.0,https://edu.goorm.io/lecture/22383/따라하며-배우는-도커와-ci환경
78,"그림으로 배우는 자바, 객체지향!","₩19,800",홍팍,4.9,https://edu.goorm.io/lecture/22108/그림으로-배우는-자바-객체지향
79,"그림으로 배우는 자바, 입문!","₩19,800",홍팍,4.8,https://edu.goorm.io/lecture/22087/그림으로-배우는-자바-입문
80,한 눈에 보는 타입스크립트,무료,영웅박,5.0,https://edu.goorm.io/lecture/22106/한-눈에-보는-타입스크립트
81,[애플 공식 교재] 스위프트 퍼즐 2,무료,코더스하이,0.0,https://edu.goorm.io/lecture/22013/애플-공식-교재-스위프트-퍼즐-2
82,[애플 공식 교재] 스위프트 퍼즐 1,무료,코더스하이,0.0,https://edu.goorm.io/lecture/21987/애플-공식-교재-스위프트-퍼즐-1
83,"코린아, 코딩하자! with 파이썬",무료,주니온,4.5,https://edu.goorm.io/lecture/21975/코린아-코딩하자-with-파이썬
84,무료 파이썬 활용편2 - GUI 프로그래밍,무료,나도코딩,5.0,https://edu.goorm.io/lecture/21780/무료-파이썬-활용편2-gui-프로그래밍
85,아두이노 시뮬레이터  - 팅커캐드 서킷,무료,메이커멘토,5.0,https://edu.goorm.io/lecture/21770/아두이노-시뮬레이터-팅커캐드-서킷
86,안드로이드 앱 개발로 배우는 자바 코딩 기초,"₩19,000",Denis Jung,5.0,https://edu.goorm.io/lecture/21383/안드로이드-앱-개발로-배우는-자바-코딩-기초
87,한 눈에 읽는 루비 온 레일즈,무료,구름,4.9,https://edu.goorm.io/lecture/16335/한-눈에-읽는-루비-온-레일즈
88,코돈의 7주 완성 기초 프로그래밍,"₩20,000",codon knumed,5.0,https://edu.goorm.io/lecture/16902/코돈의-7주-완성-기초-프로그래밍
89,동시에 배우는 C와 C++,무료,두들낙서,5.0,https://edu.goorm.io/lecture/21611/동시에-배우는-c와-c
90,이부일의 R릴레오 기초편,무료,이 부일,0.0,https://edu.goorm.io/lecture/21022/이부일의-r릴레오-기초편
91,[R] 머신러닝을 위한 통계학 기초,"₩44,550",코코,0.0,https://edu.goorm.io/lecture/21244/r-머신러닝을-위한-통계학-기초
92,한큐에 끝내는 해커톤 입문_아두이노와 웹,"₩3,300",밍밍이와 맹맹이,5.0,https://edu.goorm.io/lecture/21118/한큐에-끝내는-해커톤-입문_아두이노와-웹
93,코딩셰프의 Flutter 순한맛,무료,코딩셰프,5.0,https://edu.goorm.io/lecture/21167/코딩셰프의-flutter-순한맛
94,안드로이드를 위한 자바 프로그래밍,"₩10,000",소프트캠퍼스,0.0,https://edu.goorm.io/lecture/21052/안드로이드를-위한-자바-프로그래밍
95,컴퓨터 일반론,무료,MN만능아카데미,3.0,https://edu.goorm.io/lecture/13426/컴퓨터-일반론
96,[저자 직강] Do it! 딥러닝 입문,무료,이지스퍼블리싱,5.0,https://edu.goorm.io/lecture/21177/저자-직강-do-it-딥러닝-입문
97,무료 파이썬 활용편1 - 추억의 오락실 게임 만들기,무료,나도코딩,4.9,https://edu.goorm.io/lecture/21001/무료-파이썬-활용편1-추억의-오락실-게임-만들기
98,디스코드 자바스크립트 튜토리얼 - 이전버전,무료,제스퍼,4.9,https://edu.goorm.io/lecture/20853/디스코드-자바스크립트-튜토리얼-이전버전
99,[2020 NEW] 코틀린 기반 안드로이드 앱 개발 Part1 - Kotlin UI Programming,"₩66,000",소프트캠퍼스,0.0,https://edu.goorm.io/lecture/20669/2020-new-코틀린-기반-안드로이드-앱-개발-part1-kotlin-ui-programming
100,모두를 위한 클라우드 컴퓨팅 입문,"₩28,000",김유경,5.0,https://edu.goorm.io/lecture/18575/모두를-위한-클라우드-컴퓨팅-입문
101,Google 공식 언어 Kotlin 프로그래밍 시작하기,"₩44,000",소프트캠퍼스,0.0,https://edu.goorm.io/lecture/20670/google-공식-언어-kotlin-프로그래밍-시작하기
102,김버그의 HTML&CSS는 재밌다,"₩90,000",김버그,4.9,https://edu.goorm.io/lecture/20583/김버그의-html-css는-재밌다
103,따라하며 배우는 데노(DENO),무료,John Ahn,4.9,https://edu.goorm.io/lecture/20663/따라하며-배우는-데노-deno
104,텐서플로2로 배우는 딥러닝,무료,Minsuk Heo,4.6,https://edu.goorm.io/lecture/20687/텐서플로2로-배우는-딥러닝
105,딥러닝 이론 및 파이썬 실습,무료,Minsuk Heo,4.6,https://edu.goorm.io/lecture/20671/딥러닝-이론-및-파이썬-실습
106,일본어로 배우는 Java 입문,"₩30,000",崔智恵,0.0,https://edu.goorm.io/lecture/20397/일본어로-배우는-java-입문
107,[번역판] CLEAN CODE JAVASCRIPT,무료,박명호,5.0,https://edu.goorm.io/lecture/20119/번역판-clean-code-javascript
108,한 눈에 끝내는 SQL,"₩99,000",구름,5.0,https://edu.goorm.io/lecture/15413/한-눈에-끝내는-sql
109,[30분 요약 시리즈 시즌2] Python 활용편,무료,제주코딩베이스캠프,5.0,https://edu.goorm.io/lecture/20254/30분-요약-시리즈-시즌2-python-활용편
110,COS PRO 1급 기출문제 - Python,무료,두잉창의코딩,4.9,https://edu.goorm.io/lecture/17299/cos-pro-1급-기출문제-python
111,COS PRO 1급 기출문제 - C++,무료,두잉창의코딩,4.7,https://edu.goorm.io/lecture/17300/cos-pro-1급-기출문제-c
112,COS PRO 1급 기출문제 - Java,무료,두잉창의코딩,4.5,https://edu.goorm.io/lecture/17301/cos-pro-1급-기출문제-java
113,COS PRO 1급 기출문제 - C언어,무료,두잉창의코딩,4.6,https://edu.goorm.io/lecture/17298/cos-pro-1급-기출문제-c언어
114,프레임워크를 위한 JavaScript ES6,"₩49,000",강태공,4.9,https://edu.goorm.io/lecture/19879/프레임워크를-위한-javascript-es6
115,5일 만에 200만원 버는 웹과 앱 만들기,무료,조코딩,4.9,https://edu.goorm.io/lecture/20213/5일-만에-200만원-버는-웹과-앱-만들기
116,[따라하며 배우는 노드&리액트] 챗봇 사이트 만들기,무료,John Ahn,3.5,https://edu.goorm.io/lecture/20020/따라하며-배우는-노드-리액트-챗봇-사이트-만들기
117,친절한 통계학 feat. R,무료,Issac Lee,5.0,https://edu.goorm.io/lecture/20108/친절한-통계학-feat-r
118,[따라하며 배우는 노드&리액트] 영화 사이트 만들기,무료,John Ahn,5.0,https://edu.goorm.io/lecture/20019/따라하며-배우는-노드-리액트-영화-사이트-만들기
119,파닥파닥 Flutter (빠르고 가볍게 Flutter 흔들기),무료,padak padak,4.8,https://edu.goorm.io/lecture/17450/파닥파닥-flutter-빠르고-가볍게-flutter-흔들기
120,무료 파이썬 기본편 - 6시간 뒤면 나도 개발자,무료,나도코딩,5.0,https://edu.goorm.io/lecture/19917/무료-파이썬-기본편-6시간-뒤면-나도-개발자
121,[무작정 풀스택] 플러터와 장고로 1시간 만에 퀴즈앱/서버 만들기,무료,권태형,3.9,https://edu.goorm.io/lecture/20021/무작정-풀스택-플러터와-장고로-1시간-만에-퀴즈앱-서버-만들기
122,쉽게 만드는 라라벨 뷰 채팅,무료,코지 코더,5.0,https://edu.goorm.io/lecture/18959/쉽게-만드는-라라벨-뷰-채팅
123,Azure 가상 컴퓨터 - 초급,"₩10,000",클라우드메이트,0.0,https://edu.goorm.io/lecture/19762/azure-가상-컴퓨터-초급
124,한 눈에 읽는 자바 기초,무료,구름,4.9,https://edu.goorm.io/lecture/19448/한-눈에-읽는-자바-기초
125,[Pytorch] 쉽고 빠르게 배우는 NLP,"₩55,000",코코,0.0,https://edu.goorm.io/lecture/19637/pytorch-쉽고-빠르게-배우는-nlp
126,"딥러닝 강좌할껀데, 실습만 합니다",무료,Yoseob Han,5.0,https://edu.goorm.io/lecture/19373/딥러닝-강좌할껀데-실습만-합니다
127,[무작정 플러터] Flutter + Firebase 넷플릭스UI 클론 코딩,무료,권태형,4.7,https://edu.goorm.io/lecture/19172/무작정-플러터-flutter-firebase-넷플릭스ui-클론-코딩
128,[스프링 시리즈2] 만들면서 배우는 Spring MVC 5,"₩88,000",소프트캠퍼스,5.0,https://edu.goorm.io/lecture/19341/스프링-시리즈2-만들면서-배우는-spring-mvc-5
129,쉽게 배우는 Vue.js 2 기초,무료,코지 코더,4.9,https://edu.goorm.io/lecture/18958/쉽게-배우는-vue-js-2-기초
130,홍드로이드의 수익창출 앱 개발,"₩55,000",홍드로이드,4.8,https://edu.goorm.io/lecture/18156/홍드로이드의-수익창출-앱-개발
131,따라하면서 배우는 리눅스 고급,무료,_따라學IT따라하면서 배우는 IT,5.0,https://edu.goorm.io/lecture/18950/따라하면서-배우는-리눅스-고급
132,따라하면서 배우는 리눅스 기초,무료,_따라學IT따라하면서 배우는 IT,5.0,https://edu.goorm.io/lecture/18808/따라하면서-배우는-리눅스-기초
133,[R] KOSPI/KOSDAQ 전 종목 데이터 수집 및 관리,"₩55,000",코코,3.0,https://edu.goorm.io/lecture/19043/r-kospi-kosdaq-전-종목-데이터-수집-및-관리
134,MATLAB처럼 쓰는 PYTHON,무료,박범진,0.0,https://edu.goorm.io/lecture/19064/matlab처럼-쓰는-python
135,쉽게 배우는 라라벨 기초,무료,코지 코더,4.9,https://edu.goorm.io/lecture/18957/쉽게-배우는-라라벨-기초
136,[Pytorch] 쉽고 빠르게 배우는 GAN,"₩49,500",코코,0.0,https://edu.goorm.io/lecture/19030/pytorch-쉽고-빠르게-배우는-gan
137,SELECT ALL FROM SQL,무료,박범진,4.7,https://edu.goorm.io/lecture/18815/select-all-from-sql
138,시선을 사로잡는 웹 - 초급,"₩69,300",DevelUP,5.0,https://edu.goorm.io/lecture/18923/시선을-사로잡는-웹-초급
139,시선을 사로잡는 웹 - 중급,"₩69,300",DevelUP,0.0,https://edu.goorm.io/lecture/17901/시선을-사로잡는-웹-중급
140,[AZ-900 Certificate] Azure Basic,"₩30,000",클라우드메이트,5.0,https://edu.goorm.io/lecture/18531/az-900-certificate-azure-basic
141,DataScience와 AI의 개념,"₩29,700",코코,4.9,https://edu.goorm.io/lecture/18477/datascience와-ai의-개념
142,위클리 비타알고 시즌3 코딩테스트 체력 키우기,"₩200,000",안홍자,4.9,https://edu.goorm.io/lecture/18444/위클리-비타알고-시즌3-코딩테스트-체력-키우기
143,한 눈에 읽는 파이썬3 기초,무료,구름,4.9,https://edu.goorm.io/lecture/17902/한-눈에-읽는-파이썬3-기초
144,김버그의 CSS는 재밌다 - 기초부터 실무 레벨까지,"₩50,000",김버그,4.9,https://edu.goorm.io/lecture/17829/김버그의-css는-재밌다-기초부터-실무-레벨까지
145,[따라하며 배우는 노드&리액트] 유튜브 사이트 만들기,무료,John Ahn,4.4,https://edu.goorm.io/lecture/17853/따라하며-배우는-노드-리액트-유튜브-사이트-만들기
146,[Pytorch] 쉽고 빠르게 배우는 딥러닝,"₩82,500",코코,0.0,https://edu.goorm.io/lecture/17903/pytorch-쉽고-빠르게-배우는-딥러닝
147,[백문이불여일타] 데이터 분석을 위한 중급 SQL,"₩44,000",YE H,4.0,https://edu.goorm.io/lecture/17832/백문이불여일타-데이터-분석을-위한-중급-sql
148,[따라하며 배우는 노드&리액트] Boiler-Plate 만들기,무료,John Ahn,5.0,https://edu.goorm.io/lecture/17855/따라하며-배우는-노드-리액트-boiler-plate-만들기
149,[백문이불여일타] 데이터 분석을 위한 기초 SQL,"₩22,000",leebomin,5.0,https://edu.goorm.io/lecture/17831/백문이불여일타-데이터-분석을-위한-기초-sql
150,R프로그래밍 기초 다지기,무료,코코,4.2,https://edu.goorm.io/lecture/17848/r프로그래밍-기초-다지기
151,나도 AWS에 서버 구축해보자🐶,무료,월리,5.0,https://edu.goorm.io/lecture/17834/나도-aws에-서버-구축해보자
152,COS PRO 2급 기출문제 - Python,무료,두잉창의코딩,4.8,https://edu.goorm.io/lecture/17033/cos-pro-2급-기출문제-python
153,COS PRO 2급 기출문제 - Java,무료,두잉창의코딩,3.7,https://edu.goorm.io/lecture/17167/cos-pro-2급-기출문제-java
154,COS PRO 2급 기출문제 - C++,무료,두잉창의코딩,2.6,https://edu.goorm.io/lecture/17165/cos-pro-2급-기출문제-c
155,COS PRO 2급 기출문제 - C언어,무료,두잉창의코딩,5.0,https://edu.goorm.io/lecture/16921/cos-pro-2급-기출문제-c언어
156,[바로실습] 생활코딩 - JAVA 객체 지향 프로그래밍,무료,생활코딩,5.0,https://edu.goorm.io/lecture/16910/바로실습-생활코딩-java-객체-지향-프로그래밍
157,"가장 핫한 FE 라이브러리🔥, React 가지고 놀아보기",무료,주현도,4.9,https://edu.goorm.io/lecture/16422/가장-핫한-fe-라이브러리-react-가지고-놀아보기
158,영화 예매 사이트 만들기: 코딩편,무료,webstoryboy,5.0,https://edu.goorm.io/lecture/16943/영화-예매-사이트-만들기-코딩편
159,영화 예매 사이트 만들기: 디자인편,무료,webstoryboy,4.5,https://edu.goorm.io/lecture/16948/영화-예매-사이트-만들기-디자인편
160,빅데이터 제대로 배우기 - R 기초 문법과 데이터 전처리,"₩50,000",아이티고,0.0,https://edu.goorm.io/lecture/17133/빅데이터-제대로-배우기-r-기초-문법과-데이터-전처리
161,센치한 개발자의 swift: ios app 만들기,무료,센치한개발자,5.0,https://edu.goorm.io/lecture/15173/센치한-개발자의-swift-ios-app-만들기
162,[바로실습] 생활코딩 - JAVA method,무료,생활코딩,5.0,https://edu.goorm.io/lecture/16909/바로실습-생활코딩-java-method
163,[바로실습] 생활코딩 - JAVA 제어문,무료,생활코딩,4.9,https://edu.goorm.io/lecture/16908/바로실습-생활코딩-java-제어문
164,[웹퍼블리싱 실습] 반응형 사이트 만들기,무료,webstoryboy,5.0,https://edu.goorm.io/lecture/16942/웹퍼블리싱-실습-반응형-사이트-만들기
165,[웹퍼블리싱 실습] 웹 표준 사이트 만들기,무료,webstoryboy,4.9,https://edu.goorm.io/lecture/16941/웹퍼블리싱-실습-웹-표준-사이트-만들기
