,제목,가격,강사,URL
36,[🔥혜택 연장] 비전공자도 쉽게 배워 바로 써먹는 실무 활용 SQL,"월 19,083원(12개월)",김경수 컨설턴트,https://class101.net/products/Rdy01tgOJr6JgM5dTajT
37,[🔥혜택 연장] 세상에서 제일 쉬운 파이썬 101,"월 17,800원(5개월)",연구소장,https://class101.net/products/Dip9O8ikht5Yhdc2C1FQ
38,[🔥혜택 연장] SNS 서비스 개발로 배우는 자바 웹 프로그래밍 입문!,"월 19,800원(5개월)",짧굵배 딘프리,https://class101.net/products/nLTf6U6abiqJp7eFZclT
39,"[0원 클래스] 30분 요약 강좌 시즌1 : HTML, CSS, JS, Python",0원,제주코딩베이스캠프,https://class101.net/products/L23jIFMyhL4iDjkfDNmh
40,"[🔥혜택 연장] 태블로, 설치부터 대시보드까지: 데이터 시각화 올인원 패키지","월 35,800원(5개월)",Bryan,https://class101.net/products/hrdJP4TPbEae4sUrVOxZ
41,[🔥혜택 연장] 예비/현직 웹 프로그래머를 위한 워드프레스 플러그인 개발!,"월 23,800원(5개월)",워드프레스 튜토리얼,https://class101.net/products/DL0TUq5muAu3DUdXIJ8P
42,"React 로 웹 개발의 기초부터 프로덕션까지 :: To-Do, 메모앱 만들기","월 32,600원(5개월)",kidevelop,https://class101.net/products/gmaPlDVnhl9iDt5v0wUb
43,"실무 CRM, 유통 데이터로 배우는 파이썬 분석 프로젝트와 Pandas 데이터 전처리","월 32,600원(5개월)",데이터 스테이션,https://class101.net/products/xfBqQR5ZNzJubejxcP3d
44,"[🔥혜택 연장] 클론코딩, 리액트로 소셜 네트워크 서비스 만들기","월 23,800원(5개월)",hong__veloper,https://class101.net/products/braSmW5TrPYPEKUSudJL
45,[0원 클래스] 30분 요약 강좌 시즌 2 : Python 활용편,0원,제주코딩베이스캠프,https://class101.net/products/wx4YaZYMAYPwlkQGrBgJ
46,"기획자/마케터를 위한 실무 SQL, 기초부터 탄탄하게 배우기","월 31,600원(5개월)",윤혜,https://class101.net/products/QBtiDaMI9GPPfGbH8sJi
47,[🔥혜택 연장]  비전공자·문과생을 위한 주식·마케팅 데이터로 배우는 Python 실전 데이터 분석 입문,"월 28,100원(5개월)",AISchool X Daniel Park,https://class101.net/products/17RuZDmjJL0LGWcXvglH
48,닮은 연예인 찾기 서비스 제작 With 티처블머신,"8,800원",제주코딩베이스캠프,https://class101.net/products/bIKbz33iJU6erwigmua5
49,기업 프로젝트로 배우는 파이썬 머신러닝과 실무 적용,"월 32,600원(5개월)",데이터 스테이션,https://class101.net/products/OMYZ474Ry7lvyhqp4WFV
50,"스마트팩토리, 파이썬으로 배우는 제조/공정 데이터 분석의 모든 것","월 35,800원(5개월)",데이터 스테이션,https://class101.net/products/Wzhzd2eWzGnwVXwFjmug
51,기업의 문제 해결을 위한 파이썬 비즈니스 데이터 분석과 통계,"월 32,600원(5개월)",데이터 스테이션,https://class101.net/products/WaX1WLZXTBs4Vkd9YC1s
