,title,instructor,price,numoflectures,rating,review_writers,reviews,urls
11,"[1:1] Excel, Power BI, DAX, 파워쿼리, 파워피벗",조신효,"80,000원",총 1회 2시간,5,"['CLARE', '여뎡', '김준영', '룰루룰루', '김예지']","['저만 알고 싶은 선생님입니다.\n수업 준비도 구성도 전달도 최고이십니다. 감사합니다!!!\n늦었는데도 성심성의껏 답변해주셔서 너무 감사 드립니다. 쵝오!!!', '2시간 수업이라서 과연 얼마나 배울 수 있을까 걱정했는데 기우였습니다. 왜 이런식으로 구현되는지 작동 원리와 개념을 상세히 설명해주셔서 짧은 시간내에 기본기를 다지는데 많은 도움이 되었습니다. 실제 사용하는 데이터를 통해 진행하니 훨씬 더 쉽게 이해되었습니다. 수업 직전까지 상세히 안내해주셨고 수업이 끝나고 도움 되는 자료도 많이 주셔서 감사드립니다.', '커리큘럼 : 최대한 수강자가 원하는 내용으로 맞춤형 강의가 이루어집니다.\n전달력 : 수강자의 이해정도를 꾸준히 확인하고 사례위주로 전달해서 이해가 쉽습니다.\n준비성 : 아주 성실하게 자료를 제공해 줍니다.\n친절도 : 반복된 질문에도 언제나 친절하게 설명해 줍니다.\n시간준수 : 주어진 시간에 필요한 진도를 충실히 나갑니다.\n어떤 면으로 보아도 최고의 강의임에 틀림없습니다. 특히 튜터님이 실무를 하고 있어서 문제 해결력이 매우 뛰어납니다.', '정말 너무 만족스러웠어요 BI에서 잘 정제된 러데이터만 쓰다가 전산체계가 엉망인 중소에서 일을 하게 되어 절망적이었습니다 이걸 수기로 관리해야한다니ㅋ 어이가 없었죠 일주일은 걸릴거같았는데... 신세계네요 기분이 너무 좋아요 감사합니다', '엑셀 특유의 복잡한 함수에 진절머리를 느껴 신청했던 수업입니다. 피벗은 더 직관적이면서도 간단하고, 필요할 때마다 필터 기능을 바꿔가며 원하는 값을 얻을 수 있어 간편했습니다.\n피벗이라는 좋은 기능을 알려주시고, 급작스러운 질문에도 대응해주셔서 감사했습니다.\n수업 추천드립니다!']",https://taling.me/Talent/Detail/29531
12,"파이썬 데이터 분석 & 머신러닝, 딥러닝",우수민,"264,000원",총 4회 8시간,,['-'],['-'],https://taling.me/Talent/Detail/26953
13,하루에 1% 수익률! 인공지능 주식 로봇 만들기,한창호,"440,000원",총 5회 10시간,,['-'],['-'],https://taling.me/Talent/Detail/31015
14,기본부터 실무까지 구글애널리틱스 GA 완벽정복 강의,신효민,"240,000원",총 4회 8시간,,['-'],['-'],https://taling.me/Talent/Detail/13426
15,"미국박사: 논문 통계분석 (SPSS, AMOS, MPLUS, EQS)",Dr.Park,"49,500원",총 1회 1시간,,['-'],['-'],https://taling.me/Talent/Detail/29898
16,대량의 텍스트 데이터로부터 인사이트 도출하기 (#자연어처리 #텍스트마이닝 #네트워크분석 #파이썬),권민지,"108,900원",총 1회 3시간,,['-'],['-'],https://taling.me/Talent/Detail/31245
17,논문 통계가 어려우신 분들을 위한 연구방법론 강의,김광모,"101,200원",총 4회 8시간,,['-'],['-'],https://taling.me/Talent/Detail/33958
18,파이썬 배울 때 이것만은 꼭 알고가자! Py린이를 위한 코딩 입문,한창호,"330,000원",총 5회 10시간,,['-'],['-'],https://taling.me/Talent/Detail/33442
19,"Numpy, Pandas 배워서 파이썬 제대로 사용하기",한창호,"382,800원",총 6회 12시간,,['-'],['-'],https://taling.me/Talent/Detail/33468
20,[튜터 전자책] 학위 및 학술논문 연구자를 위한 명령어로 실행하는 SPSS 프로세스 매크로 통계분석(59p),이주용,"29,700원",총 1회 1시간,,['-'],['-'],https://taling.me/Talent/Detail/33431
